day,hour,soc,action_scalar,action_power,demand_delta,import_price,export_price,spread,net_community,raw_demand,modified_demand
0,0,0.0,-1.0,-0.4,-0.0,0.37229999899864197,0.18889999389648438,0.1834000051021576,0.25360000133514404,0.4810999929904938,0.4810999929904938
0,1,0.0,-1.0,-0.4,-0.0,0.23999999463558197,0.12970000505447388,0.1102999895811081,0.2556999921798706,0.4625000059604645,0.4625000059604645
0,2,0.0,-1.0,-0.4,-0.0,0.1851000040769577,0.10509999841451645,0.08000000566244125,0.19550000131130219,0.4417000114917755,0.4417000114917755
0,3,0.25851146221160887,0.6802933216094971,0.27211732864379884,0.27211732864379884,0.1860000044107437,0.10540000349283218,0.08060000091791153,0.1624000072479248,0.42480000853538513,0.6969172954559326
0,4,0.6385114622116088,1.0,0.4,0.4,0.2143000066280365,0.11800000071525574,0.09630000591278076,0.164000004529953,0.41530001163482666,0.8152999877929688
0,5,1.0,1.0,0.4,0.38051425030356967,0.15600000321865082,0.09200000017881393,0.06400000303983688,0.11069999635219574,0.41440001130104065,0.7949142616046103
0,6,0.8499800324440002,-0.3750499188899994,-0.15001996755599978,-0.14251896917819978,0.34940001368522644,0.1785999983549118,0.17080001533031464,-0.01140000019222498,0.4417000114917755,0.2991810441017151
0,7,0.4499800324440002,-1.0,-0.4,-0.38,0.40400001406669617,0.20309999585151672,0.20090001821517944,-0.09309999644756317,0.3849000036716461,0.0049000084400177
0,8,0.04998003244400018,-1.0,-0.4,-0.38,0.400299996137619,0.2013999968767166,0.1988999992609024,-0.2029999941587448,0.3075999915599823,-0.07240000367164612
0,9,0.0,-0.5917267799377441,-0.23669071197509767,-0.04748103082180016,0.25459998846054077,0.1362999975681305,0.11829999089241028,-0.3411000072956085,0.18029999732971191,0.13281896650791175
0,10,0.18694895207881926,0.4919709265232086,0.19678837060928345,0.19678837060928345,0.186599999666214,0.10570000112056732,0.08089999854564667,-0.4072999954223633,0.10490000247955322,0.30168837308883667
0,11,0.5669489520788192,1.0,0.4,0.4,0.07569999992847443,0.0560000017285347,0.019699998199939728,-0.4449999928474426,0.0215000007301569,0.42149999737739563
0,12,0.9469489520788192,1.0,0.4,0.4,0.08399999886751175,0.05999999865889549,0.024000000208616257,-0.4171999990940094,-0.0860000029206276,0.3140000104904175
0,13,1.0,0.7779290080070496,0.31117160320281984,0.05584320833808502,0.05999999865889549,0.04910000041127205,0.010899998247623444,-0.3596999943256378,-0.1678999960422516,-0.11205678770416658
0,14,1.0,1.0,0.4,0.0,0.006000000052154064,0.024900000542402267,-0.01889999955892563,-0.3262999951839447,-0.18520000576972961,-0.18520000576972961
0,15,1.0,1.0,0.4,0.0,0.07890000194311142,0.05770000070333481,0.02120000123977661,-0.1517000049352646,-0.08579999953508377,-0.08579999953508377
0,16,1.0,0.8681595325469971,0.34726381301879883,0.0,0.6840000152587891,0.3197000026702881,0.364300012588501,0.058400001376867294,0.1151999980211258,0.1151999980211258
